model,manufacturer,type,cylinders,size,drive
city express cargo van,chevrolet,van,4 cylinders,sub-compact,rwd
s80 2.5t,volvo,sedan,5 cylinders,full-size,fwd
camry se 4dr sedan,toyota,sedan,4 cylinders,mid-size,fwd
celica,toyota,hatchback,4 cylinders,compact,fwd
gto,pontiac,coupe,8 cylinders,mid-size,rwd
cts,cadillac,sedan,6 cylinders,full-size,rwd
altima,nissan,coupe,4 cylinders,mid-size,fwd
land cruiser,toyota,SUV,8 cylinders,full-size,4wd
aerostar van,ford,mini-van,6 cylinders,mid-size,rwd
focus ses,ford,sedan,4 cylinders,compact,fwd
elantra se,hyundai,sedan,4 cylinders,mid-size,fwd
3 i sv,mazda,sedan,4 cylinders,mid-size,fwd
fusion,ford,sedan,4 cylinders,full-size,fwd
pilot ex-l,honda,SUV,6 cylinders,mid-size,fwd
tl w/navigation,acura,sedan,6 cylinders,mid-size,fwd
trailblazer ext lt,chevrolet,SUV,8 cylinders,full-size,4wd
crv lx,honda,SUV,4 cylinders,mid-size,fwd
avalon xl.,toyota,coupe,6 cylinders,full-size,fwd
durango limited,dodge,SUV,8 cylinders,full-size,4wd
f450,ford,truck,8 cylinders,full-size,4wd
deluxe convertible,chevrolet,convertible,6 cylinders,full-size,rwd
altima 3.5,nissan,sedan,6 cylinders,mid-size,fwd
silverado 1500 lt,chevrolet,truck,8 cylinders,full-size,rwd
f350,ford,pickup,other,full-size,4wd
sonata,hyundai,sedan,6 cylinders,mid-size,fwd
passat,volkswagen,sedan,4 cylinders,full-size,fwd
juke,nissan,SUV,4 cylinders,mid-size,fwd
versa sv,nissan,sedan,4 cylinders,mid-size,fwd
escape,ford,SUV,4 cylinders,full-size,4wd
f-150 lariat 4x4 crewcab,ford,pickup,8 cylinders,full-size,4wd
silverado 2500,chevrolet,truck,8 cylinders,full-size,4wd
f-150 super crew,ford,pickup,8 cylinders,full-size,rwd
yukon denali,gmc,SUV,8 cylinders,full-size,4wd
cruze limited,chevrolet,sedan,4 cylinders,compact,fwd
a4,audi,convertible,6 cylinders,compact,4wd
accord ex,honda,sedan,4 cylinders,mid-size,fwd
rogue,nissan,SUV,4 cylinders,full-size,fwd
grand prix,pontiac,sedan,6 cylinders,mid-size,fwd
titan sl lifted truck 4w,nissan,truck,8 cylinders,full-size,4wd
cooper clubman,mini,coupe,4 cylinders,compact,rwd
silverado 1500,chevrolet,truck,8 cylinders,mid-size,rwd
sierra 1500 4wd truck local,gmc,truck,8 cylinders,full-size,4wd
grand voyager,chrysler,mini-van,6 cylinders,full-size,rwd
370z roadster,nissan,convertible,6 cylinders,compact,rwd
tundra double cab 4x4,toyota,pickup,8 cylinders,full-size,4wd
silverado,chevrolet,pickup,6 cylinders,mid-size,rwd
forester premium,subaru,wagon,4 cylinders,full-size,4wd
cx-9,mazda,SUV,6 cylinders,full-size,4wd
rogue,nissan,SUV,4 cylinders,mid-size,fwd
a4,audi,convertible,4 cylinders,compact,fwd
escalade hybrid,cadillac,SUV,8 cylinders,full-size,4wd
ridgeline,honda,truck,6 cylinders,full-size,4wd
benz c250 sport,mercedes-benz,sedan,4 cylinders,compact,rwd
outback 2.5i,subaru,wagon,4 cylinders,mid-size,4wd
sierra 2500hd slt,gmc,truck,8 cylinders,full-size,4wd
xc90 awd,volvo,SUV,5 cylinders,mid-size,4wd
rendezvous,buick,SUV,6 cylinders,full-size,rwd
f150 supercrew cab fx2,ford,truck,8 cylinders,full-size,rwd
ls 460 l,lexus,sedan,8 cylinders,full-size,rwd
forester 2.5i premium,subaru,SUV,4 cylinders,mid-size,4wd
camry le 4dr sedan,toyota,sedan,6 cylinders,full-size,fwd
edge titanium,ford,SUV,4 cylinders,mid-size,4wd
g6,pontiac,sedan,4 cylinders,compact,fwd
2500,ram,pickup,6 cylinders,full-size,fwd
2500 laramie longhorn,ram,truck,6 cylinders,full-size,4wd
f250,ford,pickup,8 cylinders,full-size,fwd
savannah 2500,gmc,van,8 cylinders,full-size,fwd
excursion limited,ford,SUV,10 cylinders,full-size,rwd
maxima se,nissan,sedan,6 cylinders,mid-size,fwd
300zx,nissan,coupe,6 cylinders,mid-size,fwd
promaster 1500 van,ram,van,6 cylinders,full-size,fwd
malibu lt,chevrolet,sedan,6 cylinders,mid-size,fwd
camaro,chevrolet,coupe,8 cylinders,full-size,rwd
528i,bmw,sedan,6 cylinders,full-size,rwd
romeo spider quadrifoglio,alfa-romeo,convertible,4 cylinders,compact,rwd
edge sel plus,ford,SUV,6 cylinders,mid-size,fwd
town & country,chrysler,van,6 cylinders,mid-size,fwd
1500,gmc,SUV,8 cylinders,full-size,4wd
lancer,mitsubishi,sedan,4 cylinders,mid-size,4wd
magnum,dodge,wagon,6 cylinders,full-size,rwd
3 series 328i,bmw,sedan,6 cylinders,full-size,rwd
jetta,volkswagen,sedan,4 cylinders,mid-size,fwd
f150 lariat,ford,truck,6 cylinders,full-size,4wd
town country,chrysler,van,6 cylinders,full-size,fwd
equinox lt sport,chevrolet,SUV,4 cylinders,mid-size,fwd
pickup 2500,ram,truck,8 cylinders,full-size,4wd
sonic,chevrolet,hatchback,4 cylinders,compact,fwd
accord loaded,honda,sedan,4 cylinders,mid-size,fwd
accord ex-l,honda,sedan,4 cylinders,full-size,fwd
f350 super duty,ford,pickup,8 cylinders,full-size,4wd
c70,volvo,convertible,5 cylinders,mid-size,fwd
tl 3.2,acura,sedan,6 cylinders,mid-size,fwd
sport,rover,SUV,8 cylinders,full-size,4wd
pilot,honda,SUV,6 cylinders,mid-size,4wd
c3500,chevrolet,truck,8 cylinders,full-size,rwd
f350 dually,ford,truck,8 cylinders,full-size,4wd
ranger super cab sport,ford,pickup,6 cylinders,mid-size,4wd
edge,ford,SUV,6 cylinders,full-size,fwd
express 2500 cargo,chevrolet,mini-van,8 cylinders,full-size,rwd
sentra,nissan,sedan,4 cylinders,sub-compact,fwd
3-series,bmw,sedan,6 cylinders,compact,4wd
dart sxt,dodge,sedan,4 cylinders,full-size,fwd
srx,cadillac,SUV,6 cylinders,full-size,fwd
tsx,acura,sedan,4 cylinders,compact,fwd
santa fe,hyundai,SUV,6 cylinders,compact,fwd
sienna le,toyota,van,6 cylinders,mid-size,fwd
frontier,nissan,pickup,4 cylinders,mid-size,rwd
camaro,chevrolet,coupe,6 cylinders,mid-size,rwd
gs430,lexus,SUV,6 cylinders,full-size,fwd
e-series cutaway,ford,truck,8 cylinders,full-size,rwd
borrego,kia,SUV,6 cylinders,full-size,4wd
grand cherokee laredo,jeep,SUV,6 cylinders,mid-size,rwd
corolla,toyota,sedan,10 cylinders,compact,4wd
4 runner sr5 premium,toyota,SUV,6 cylinders,full-size,4wd
versa s,nissan,hatchback,4 cylinders,compact,fwd
f-150 lariat 4x4,ford,pickup,6 cylinders,full-size,4wd
ranger sport,ford,truck,6 cylinders,mid-size,rwd
equinox lt 2.4l,chevrolet,SUV,4 cylinders,mid-size,fwd
s10 extended cab,chevrolet,pickup,6 cylinders,compact,rwd
jetta,volkswagen,sedan,5 cylinders,mid-size,fwd
tacoma,toyota,truck,6 cylinders,full-size,rwd
promaster,ram,van,6 cylinders,mid-size,fwd
f-350 sd,ford,truck,10 cylinders,full-size,4wd
f150 lariat sport,ford,truck,8 cylinders,full-size,4wd
odyssey,honda,mini-van,6 cylinders,mid-size,fwd
mustang gt premium,ford,coupe,8 cylinders,compact,rwd
sti,subaru,sedan,4 cylinders,mid-size,4wd
accord,honda,coupe,10 cylinders,mid-size,4wd
670,volvo,truck,6 cylinders,full-size,4wd
impala ls,chevrolet,sedan,6 cylinders,mid-size,fwd
4runner limited,toyota,SUV,6 cylinders,mid-size,rwd
335i coupe,bmw,coupe,6 cylinders,mid-size,rwd
1500 quad cab,ram,pickup,8 cylinders,full-size,fwd
cooper hardtop,mini,coupe,4 cylinders,compact,fwd
journey se,dodge,hatchback,4 cylinders,full-size,rwd
acadia,gmc,SUV,6 cylinders,full-size,4wd
camry le 4dr sedan,toyota,sedan,4 cylinders,full-size,fwd
rdx,acura,SUV,10 cylinders,full-size,4wd
rx,lexus,SUV,6 cylinders,mid-size,fwd
sorento sx limited,kia,SUV,6 cylinders,full-size,4wd
transit,ford,van,6 cylinders,mid-size,rwd
1500 silverado,chevrolet,truck,8 cylinders,full-size,4wd
santa fe,hyundai,SUV,6 cylinders,full-size,fwd
cooper,mini,sedan,4 cylinders,compact,fwd
savana box,gmc,truck,8 cylinders,full-size,rwd
focus st,ford,hatchback,4 cylinders,full-size,fwd
2500 slt big horn,ram,truck,6 cylinders,full-size,4wd
golf,volkswagen,sedan,4 cylinders,compact,fwd
silverado 2500 2wd uti,chevrolet,pickup,8 cylinders,full-size,rwd
escalade awd,cadillac,SUV,8 cylinders,full-size,4wd
accord ex 4-door sedan,honda,sedan,4 cylinders,mid-size,fwd
express 3500 extended,chevrolet,van,8 cylinders,full-size,rwd
silverado 2500 hd,chevrolet,truck,8 cylinders,full-size,4wd
yaris,toyota,sedan,4 cylinders,sub-compact,fwd
land cruiser,toyota,SUV,8 cylinders,full-size,fwd
caliber,dodge,SUV,4 cylinders,mid-size,fwd
denali yukon xl,gmc,SUV,8 cylinders,full-size,4wd
civic sedan,honda,sedan,4 cylinders,mid-size,fwd
aura xe 4dr sedan,saturn,sedan,6 cylinders,mid-size,fwd
prius,toyota,hatchback,4 cylinders,compact,fwd
1 ton 3800,chevrolet,truck,6 cylinders,full-size,rwd
caravan,dodge,van,6 cylinders,full-size,fwd
compass,jeep,SUV,4 cylinders,compact,4wd
murano,nissan,SUV,6 cylinders,mid-size,4wd
coupe,ford,coupe,8 cylinders,compact,rwd
ion 3,saturn,sedan,4 cylinders,mid-size,fwd
altima 2.5 s,nissan,sedan,4 cylinders,compact,fwd
escape,ford,SUV,4 cylinders,sub-compact,fwd
4runner,toyota,SUV,6 cylinders,mid-size,rwd
camaro ss 2ss,chevrolet,coupe,8 cylinders,compact,rwd
f 150 lariat 4x4,ford,pickup,6 cylinders,full-size,4wd
fusion hybrid se sedan,ford,sedan,4 cylinders,mid-size,fwd
f250 7.3 crew 4x4,ford,truck,8 cylinders,full-size,4wd
escape,ford,SUV,4 cylinders,mid-size,4wd
fit,honda,hatchback,4 cylinders,mid-size,fwd
acadia,gmc,SUV,6 cylinders,full-size,rwd
terrain,gmc,SUV,6 cylinders,compact,fwd
escalade esv,cadillac,SUV,8 cylinders,full-size,4wd
rdx,acura,SUV,4 cylinders,mid-size,4wd
1500 sierra,gmc,pickup,8 cylinders,full-size,4wd
impreza,subaru,hatchback,4 cylinders,full-size,4wd
sierra 3500,gmc,truck,8 cylinders,full-size,rwd
corolla,toyota,sedan,4 cylinders,full-size,fwd
highlander limited awd,toyota,SUV,6 cylinders,full-size,4wd
srx,cadillac,SUV,6 cylinders,mid-size,fwd
xts luxury,cadillac,sedan,6 cylinders,full-size,fwd
benz e350,mercedes-benz,sedan,6 cylinders,full-size,4wd
silverado lt z71,chevrolet,pickup,8 cylinders,full-size,4wd
new beetle coupe,volkswagen,coupe,4 cylinders,compact,fwd
sorrento ex,kia,SUV,6 cylinders,full-size,4wd
silverado 2500,chevrolet,truck,8 cylinders,full-size,rwd
trax lt,chevrolet,SUV,4 cylinders,mid-size,4wd
savana,gmc,van,8 cylinders,full-size,rwd
1500,ram,truck,6 cylinders,full-size,rwd
tundra 4x4 limited,toyota,truck,8 cylinders,full-size,4wd
long wheel base,rover,SUV,8 cylinders,full-size,4wd
1500 suburban,chevrolet,SUV,8 cylinders,full-size,4wd
element ex awd,honda,SUV,4 cylinders,full-size,4wd
f-150 fx4 4wd,ford,pickup,8 cylinders,full-size,4wd
a6 quattro,audi,wagon,6 cylinders,mid-size,4wd
express 2500 cargo van,chevrolet,van,8 cylinders,full-size,rwd
cobalt ss supercharged,chevrolet,coupe,4 cylinders,compact,fwd
1500 classic,ram,truck,6 cylinders,mid-size,rwd
benz e350 4matic,mercedes-benz,sedan,6 cylinders,mid-size,4wd
impreza wrx,subaru,wagon,4 cylinders,compact,4wd
business coupe,ford,coupe,8 cylinders,full-size,rwd
odyssey,honda,van,6 cylinders,compact,fwd
x3,bmw,SUV,6 cylinders,mid-size,4wd
sentra s,nissan,sedan,4 cylinders,compact,fwd
c250,mercedes-benz,sedan,4 cylinders,compact,rwd
cooper s,mini,hatchback,4 cylinders,compact,fwd
explorer limited,ford,SUV,6 cylinders,full-size,4wd
cx-5 grand touring,mazda,SUV,4 cylinders,compact,4wd
4500 hd,ram,other,6 cylinders,full-size,rwd
e-class,mercedes-benz,sedan,4 cylinders,mid-size,rwd
xv crosstrek 2.0i limited,subaru,hatchback,4 cylinders,sub-compact,4wd
sprinter 2500 170”,mercedes-benz,van,4 cylinders,full-size,rwd
dart sxt plus,dodge,sedan,4 cylinders,full-size,fwd
e350 super duty,ford,van,8 cylinders,full-size,rwd
a4 2.0t premium plus,audi,sedan,4 cylinders,compact,4wd
220s / 3.0,mercedes-benz,sedan,6 cylinders,full-size,rwd
is 350 sedan,lexus,sedan,6 cylinders,mid-size,rwd
silverado 3500hd,chevrolet,truck,8 cylinders,full-size,4wd
colorado,chevrolet,truck,5 cylinders,full-size,4wd
malibu,chevrolet,sedan,4 cylinders,compact,fwd
e-350,ford,van,8 cylinders,full-size,rwd
terrain,gmc,SUV,4 cylinders,sub-compact,fwd
k5 blazer,chevrolet,SUV,8 cylinders,full-size,4wd
maxima sv,nissan,sedan,6 cylinders,full-size,fwd
durango,dodge,SUV,8 cylinders,mid-size,rwd
f-150 xl crew cab,ford,pickup,6 cylinders,full-size,fwd
odyssey touring,honda,van,6 cylinders,full-size,4wd
sienna le 7-passenger,toyota,van,6 cylinders,full-size,fwd
f150 4x4,ford,truck,8 cylinders,full-size,4wd
mustang,ford,convertible,6 cylinders,mid-size,rwd
fusion sel,ford,sedan,6 cylinders,compact,fwd
yukon,gmc,SUV,8 cylinders,mid-size,rwd
escape xlt,ford,SUV,6 cylinders,mid-size,fwd
elantra,hyundai,sedan,4 cylinders,full-size,fwd
sebring touring,chrysler,sedan,6 cylinders,mid-size,fwd
brz,subaru,coupe,10 cylinders,mid-size,4wd
compass trailhawk 4wd,jeep,SUV,4 cylinders,mid-size,4wd
5500 slt diesel,ram,truck,6 cylinders,full-size,4wd
protege,mazda,sedan,4 cylinders,compact,fwd
edge awd,ford,SUV,6 cylinders,mid-size,4wd
sentra fe+,nissan,sedan,4 cylinders,mid-size,fwd
f150 xlt 4x4,ford,pickup,8 cylinders,full-size,4wd
1500,ram,truck,6 cylinders,full-size,4wd
lancer es,mitsubishi,sedan,4 cylinders,compact,fwd
suburban,gmc,SUV,8 cylinders,full-size,rwd
"sti only 1,402 miles",subaru,sedan,4 cylinders,mid-size,4wd
impala,chevrolet,sedan,8 cylinders,full-size,rwd
c10,chevrolet,pickup,8 cylinders,full-size,rwd
fiesta,ford,hatchback,3 cylinders,compact,fwd
accord,honda,coupe,4 cylinders,full-size,fwd
benz glk350 4matic,mercedes-benz,SUV,6 cylinders,mid-size,4wd
monterey,mercury,sedan,8 cylinders,full-size,rwd
bonneville,pontiac,sedan,6 cylinders,mid-size,fwd
tacoma,toyota,pickup,6 cylinders,full-size,4wd
pilot,honda,SUV,6 cylinders,full-size,fwd
edge sel crossover,ford,other,6 cylinders,mid-size,fwd
m550i x-drive,bmw,sedan,8 cylinders,full-size,4wd
vue v6,saturn,SUV,6 cylinders,full-size,4wd
xterra s 4wd 4.0l v6,nissan,SUV,6 cylinders,full-size,4wd
dart se,dodge,sedan,4 cylinders,compact,fwd
odyssey touring elite,honda,mini-van,6 cylinders,full-size,fwd
cruze limited,chevrolet,sedan,4 cylinders,mid-size,fwd
prius hybrid,toyota,hatchback,4 cylinders,sub-compact,fwd
pilot ex-l,honda,SUV,6 cylinders,full-size,fwd
colorado ls z71,chevrolet,pickup,5 cylinders,mid-size,4wd
cooper s convertible,mini,convertible,4 cylinders,compact,fwd
sienna xle,toyota,mini-van,6 cylinders,full-size,fwd
xc90 awd,volvo,SUV,8 cylinders,mid-size,4wd
santa fe sport,hyundai,SUV,4 cylinders,mid-size,fwd
3500hd slt 4x4,ram,pickup,6 cylinders,full-size,4wd
wrangler sport unlimited,jeep,SUV,6 cylinders,mid-size,4wd
genesis,hyundai,sedan,4 cylinders,compact,fwd
highlander,toyota,SUV,6 cylinders,mid-size,fwd
envoy slt,gmc,SUV,6 cylinders,full-size,rwd
camry,toyota,sedan,4 cylinders,mid-size,rwd
optima sx turbo,kia,sedan,4 cylinders,full-size,fwd
6i,mazda,sedan,4 cylinders,mid-size,fwd
f-150 stx 4x4,ford,truck,8 cylinders,full-size,4wd
dakota,dodge,truck,8 cylinders,mid-size,4wd
caliber sxt,dodge,hatchback,4 cylinders,mid-size,fwd
grand caravan sxt,dodge,mini-van,6 cylinders,mid-size,fwd
sierra stepside z71 4x4,gmc,pickup,8 cylinders,mid-size,4wd
promaster cargo van,ram,van,6 cylinders,full-size,fwd
ranger xlt,ford,truck,6 cylinders,mid-size,rwd
b2300,mazda,pickup,4 cylinders,mid-size,rwd
f-150 xlt,ford,pickup,8 cylinders,full-size,rwd
1500,ram,truck,8 cylinders,compact,4wd
forte,kia,sedan,4 cylinders,mid-size,fwd
super duty f-350 srw,ford,truck,8 cylinders,full-size,rwd
f250 super duty,ford,truck,8 cylinders,compact,4wd
jetta sportwagen,volkswagen,sedan,4 cylinders,mid-size,fwd
x6,bmw,SUV,6 cylinders,mid-size,4wd
2500hd duramax,chevrolet,pickup,8 cylinders,full-size,4wd
accord ex,honda,coupe,4 cylinders,compact,fwd
envoy,gmc,SUV,6 cylinders,mid-size,4wd
liberty limited,jeep,SUV,6 cylinders,mid-size,rwd
3500,ram,pickup,6 cylinders,full-size,rwd
civic cpe,honda,coupe,4 cylinders,mid-size,fwd
f-250 xlt,ford,truck,8 cylinders,full-size,fwd
sts,cadillac,sedan,6 cylinders,full-size,rwd
fit base,honda,hatchback,4 cylinders,compact,fwd
highlander,toyota,SUV,4 cylinders,mid-size,fwd
yukon denali,gmc,SUV,8 cylinders,full-size,rwd
tundra sr5,toyota,pickup,8 cylinders,full-size,4wd
armada platinum,nissan,SUV,8 cylinders,full-size,4wd
f-250 super duty xlt,ford,truck,8 cylinders,full-size,4wd
g6,pontiac,sedan,6 cylinders,full-size,fwd
f150 lariat,ford,pickup,8 cylinders,mid-size,fwd
equinox lt,chevrolet,SUV,4 cylinders,mid-size,4wd
highlander,toyota,SUV,6 cylinders,full-size,fwd
is 250,lexus,sedan,6 cylinders,sub-compact,rwd
f-150 xlt,ford,truck,8 cylinders,full-size,4wd
firebird trans am,pontiac,coupe,8 cylinders,compact,rwd
prius v,toyota,wagon,4 cylinders,full-size,fwd
silverado 3500hd,chevrolet,pickup,8 cylinders,full-size,4wd
x3 3.0i,bmw,SUV,6 cylinders,full-size,4wd
golf tdi alh 1.9l,volkswagen,hatchback,4 cylinders,compact,fwd
ranchero,ford,pickup,8 cylinders,full-size,rwd
tuscon gls,hyundai,SUV,4 cylinders,mid-size,fwd
trailblazer ls 4x4,chevrolet,SUV,6 cylinders,mid-size,4wd
f150 supercrew,ford,pickup,8 cylinders,full-size,4wd
g37s,infiniti,sedan,6 cylinders,mid-size,rwd
s40 t5,volvo,sedan,5 cylinders,compact,fwd
ridgeline,honda,truck,6 cylinders,mid-size,4wd
accord sport,honda,sedan,4 cylinders,full-size,fwd
fit,honda,hatchback,4 cylinders,compact,fwd
forte lx,kia,sedan,4 cylinders,mid-size,fwd
sierra 2500hd,gmc,pickup,8 cylinders,full-size,rwd
silverado ltz,chevrolet,pickup,8 cylinders,full-size,4wd
colorado,chevrolet,pickup,5 cylinders,mid-size,4wd
canyon crew cab,gmc,truck,5 cylinders,mid-size,rwd
matrix,toyota,hatchback,4 cylinders,compact,fwd
solara sle convertible,toyota,convertible,6 cylinders,mid-size,fwd
mustang convertible,ford,convertible,6 cylinders,full-size,rwd
solstice,pontiac,convertible,4 cylinders,sub-compact,rwd
cascada,buick,convertible,4 cylinders,compact,fwd
canyon,gmc,pickup,5 cylinders,mid-size,rwd
escort lx,ford,hatchback,4 cylinders,compact,fwd
s60,volvo,sedan,5 cylinders,mid-size,fwd
tarus gl wagon,ford,sedan,6 cylinders,mid-size,fwd
f150 4x4,ford,truck,8 cylinders,mid-size,4wd
lumina,chevrolet,sedan,6 cylinders,mid-size,fwd
pathfinder le 4x4,nissan,SUV,6 cylinders,mid-size,4wd
challenger scat pack,dodge,coupe,8 cylinders,mid-size,rwd
g35 coupe,infiniti,coupe,6 cylinders,mid-size,fwd
terrain,gmc,SUV,4 cylinders,full-size,4wd
silverado,chevrolet,pickup,8 cylinders,full-size,fwd
silverado 1500 crew 4x4,chevrolet,truck,8 cylinders,full-size,4wd
ranger,ford,truck,6 cylinders,mid-size,fwd
sequoia,toyota,SUV,8 cylinders,full-size,4wd
a7,audi,hatchback,6 cylinders,compact,4wd
tahoe ls,chevrolet,SUV,6 cylinders,full-size,4wd
mustang,ford,coupe,10 cylinders,mid-size,4wd
accord,honda,sedan,6 cylinders,compact,fwd
740li,bmw,sedan,6 cylinders,full-size,rwd
blazer ls 2 dr,chevrolet,SUV,6 cylinders,mid-size,4wd
dakota,dodge,truck,6 cylinders,mid-size,rwd
c70 t5 convertible,volvo,convertible,5 cylinders,mid-size,fwd
equinox,chevrolet,SUV,6 cylinders,full-size,fwd
328i,bmw,sedan,4 cylinders,compact,rwd
is 250 awd,lexus,sedan,6 cylinders,full-size,4wd
venza,toyota,SUV,6 cylinders,full-size,4wd
silverado,chevrolet,truck,6 cylinders,full-size,rwd
journey,dodge,SUV,4 cylinders,full-size,fwd
challenger,dodge,coupe,6 cylinders,compact,rwd
f250 king ranch,ford,pickup,8 cylinders,full-size,4wd
brz,subaru,coupe,4 cylinders,mid-size,4wd
tundra sr5 crew max,toyota,pickup,8 cylinders,full-size,rwd
caravan,dodge,van,6 cylinders,full-size,4wd
malibu lt,chevrolet,sedan,4 cylinders,compact,fwd
civic gx,honda,sedan,4 cylinders,mid-size,fwd
excursion limited rwd,ford,SUV,8 cylinders,full-size,rwd
q50 awd,infiniti,sedan,6 cylinders,full-size,4wd
f150 lariat,ford,pickup,8 cylinders,full-size,4wd
genesis coupe 2.0t,hyundai,coupe,4 cylinders,compact,rwd
350,ford,truck,10 cylinders,full-size,4wd
sportage,kia,wagon,4 cylinders,compact,fwd
frontier,nissan,truck,6 cylinders,mid-size,rwd
navigator,lincoln,SUV,8 cylinders,full-size,rwd
is250,lexus,sedan,6 cylinders,full-size,fwd
rx 350,lexus,SUV,6 cylinders,full-size,fwd
rogue,nissan,wagon,4 cylinders,mid-size,4wd
mx-5,mazda,convertible,4 cylinders,compact,rwd
200,chrysler,sedan,6 cylinders,mid-size,fwd
sonoma,gmc,pickup,4 cylinders,mid-size,rwd
hardtop,mini,hatchback,4 cylinders,sub-compact,fwd
x3 xdrive28i,bmw,SUV,4 cylinders,compact,4wd
1500 laramie slt,ram,truck,8 cylinders,full-size,rwd
forester,subaru,SUV,4 cylinders,compact,4wd
equinox 1lt awd,chevrolet,SUV,4 cylinders,mid-size,4wd
camry hybrid,toyota,sedan,4 cylinders,mid-size,fwd
cruze,chevrolet,sedan,4 cylinders,compact,fwd
silverado 1500 ltz 4x4,chevrolet,truck,8 cylinders,mid-size,4wd
cherokee,jeep,SUV,6 cylinders,mid-size,fwd
tacoma 4wd,toyota,truck,6 cylinders,full-size,4wd
bronco ii,ford,SUV,6 cylinders,compact,4wd
silverado lt,chevrolet,truck,8 cylinders,full-size,4wd
escape se 4wd,ford,SUV,4 cylinders,compact,4wd
gladiator rubicon,jeep,truck,6 cylinders,full-size,4wd
sedan deville concours,cadillac,sedan,8 cylinders,full-size,fwd
sentra sl,nissan,sedan,4 cylinders,compact,fwd
m3,bmw,convertible,8 cylinders,full-size,rwd
f150 supercrew fx4 4x4,ford,truck,8 cylinders,full-size,4wd
flex,ford,SUV,6 cylinders,full-size,fwd
skylark,buick,sedan,4 cylinders,mid-size,rwd
nitro sxt 4wd,dodge,SUV,6 cylinders,mid-size,4wd
g1500,gmc,van,8 cylinders,mid-size,rwd
f350 super duty crew cab,ford,truck,10 cylinders,full-size,rwd
expedition xlt,ford,SUV,8 cylinders,full-size,rwd
wrangler,jeep,offroad,4 cylinders,full-size,4wd
journey,dodge,SUV,6 cylinders,compact,fwd
super duty f-250,ford,truck,8 cylinders,full-size,4wd
cooper countryman s,mini,SUV,4 cylinders,mid-size,fwd
1500 slt,ram,truck,8 cylinders,full-size,4wd
camaro 1lt,chevrolet,coupe,4 cylinders,full-size,rwd
f250,ford,truck,8 cylinders,full-size,rwd
avalon,toyota,sedan,6 cylinders,mid-size,fwd
f150 super crew cab,ford,pickup,8 cylinders,full-size,4wd
3 series 320xi xdrive,bmw,sedan,4 cylinders,full-size,4wd
c-class c250 sport,mercedes-benz,sedan,4 cylinders,full-size,rwd
g sedan g37x awd,infiniti,sedan,6 cylinders,full-size,4wd
eurovan gls,volkswagen,mini-van,6 cylinders,full-size,fwd
cube krom,nissan,SUV,4 cylinders,compact,fwd
b3,dodge,truck,4 cylinders,mid-size,rwd
